Attraction Name,Province,City,District,Region,Address,Longitude,Latitude,Category,Core Category,Theme Tags,Scenic Level,Nearby Transport,Opening Hours,Ticket Price,Fee Type,Ticket Purchase,Suggested Duration,Best Visit Months,Suitable For,Introduction,Selling Points,Photo URL,
Hengdian World Studios,Zhejiang Province,Jinhua City,Dongyang City,East China,"No. 66 Jinfo Zhuang Road, Hengdian Town, Dongyang City, Jinhua City, Zhejiang Province",120.32,29.15,5A-level scenic area|Film and television shooting|Theme entertainment,History & Culture | Theme Park,,5A,Bus: Bus Route 28 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-17:00 (slight variations across different zones),"Combo ticket: 348-518 (includes 3-5 attractions, valid for 2 days)",Paid,Gaode Map App scenic spot ticket booking | Ctrip App search for scenic spot name to purchase tickets | Fliggy App search for scenic spot name to purchase tickets,1-3 days,Suitable all year round,All ages,"Hengdian World Studios is the largest film and television shooting base in the world, known as ""China's Hollywood."" It features 13 film and television shooting bases spanning thousands of years of history and space, including the Qin King Palace, Ming and Qing Palaces, Guangzhou Street Hong Kong Street, and Along the River During the Qingming Festival, making it an ideal place to experience film and television culture.",Largest film and television shooting base globally; China's Hollywood; Immersive film and television experience; Chance to encounter celebrities,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/横店影视城.webp,
Shuanglong Cave,Zhejiang Province,Jinhua City,Wucheng District,East China,"Roudian Town, Wucheng District, Jinhua City, Zhejiang Province",119.65,29.15,4A-level scenic area|Cave landscape|Taoist culture,Natural Scenery|Historical Culture|Religious Sites,,4A,Bus: Bus Route 3 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:30-16:30,80/person,Paid,Scenic Area Official Website Online Booking | Scenic Area Official WeChat Public Account Reservation | Fliggy APP Search Scenic Area Name to Purchase Tickets,3-4 hours,Suitable all year round,All ages,"Shuanglong Cave is named after two stalactite dragon heads hanging at its entrance, renowned as a ""wonder of water and stone."" The scenic area consists of inner cave, outer cave, and ear cave, with the outer cave covering about 1,200 square meters and the inner cave about 2,000 square meters. It is one of the Taoist ""Thirty-six Grotto-heavens and Seventy-two Blessed Lands.""",Boat ride into the cave experience; Taoist grotto-heaven and blessed land; Stalactite wonders; Huang Daxian Ancestral Palace,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/双龙洞.webp,
Nanshan Cultural Tourism Zone,Hainan Province,Sanya City,Yazhou District,South China,"Nanshan Scenic Area, Yazhou District, Yacheng Town, Sanya City",110.117315,19.960566,5A-level scenic area,Natural Scenery|Historical Culture|Religious Sites,,5A,Bus: Bus Route 12 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,08:00-17:00,Off-season: 108/person; Peak season: 129/person; Sightseeing bus: 30/person; Children under 1.2m and seniors over 70 years old free,Paid,Baidu Map APP scenic spot ticket purchase | Meituan APP search scenic area name to reserve | Scenic area official WeChat public account reservation,4-6 hours,Suitable all year round,All ages,"An important Buddhist cultural park in southern China, renowned for the 108-meter Sea Guanyin, Nanshan Temple, and garden landscapes. The scenic area covers a planned area of 34.7 square kilometers, with a forest coverage rate of 97%, and air and seawater quality ranking first nationwide. Major attractions include the Sea Guanyin of Nanshan, Nanshan Temple, Thirty-three Guanyin Hall, Longevity Valley, and Golden Jade Guanyin.",108-meter tallest Sea Guanyin in the world; Largest Buddhist sanctuary in southern China; Blessed land of longevity culture; Mountain and sea natural beauty,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/南山文化旅游区.webp,
Tianyahaijiao,Hainan Province,Sanya City,Tianya District,South China,"At the foot of Maling Mountain, Tianya District, Sanya City (26 km west along the coastal western road)",110.322276,20.467019,5A-level scenic area,Natural scenery|Historical culture,,5A,Bus: Route 30 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate the scenic area name,08:00-18:00 (Entry stops at 19:00),"Free (Free admission since June 1, 2023)",Paid,Search scenic area name for group purchase on Douyin APP | Buy tickets via Baidu Maps APP | Online reservation on official scenic area website,2-3 hours,Suitable all year round,All ages,"Located 23 kilometers southwest of Sanya City, with a total area of 16.4 square kilometers, it is a national key scenic spot. The area backs onto mountains and faces the sea, featuring main attractions such as the ""Tianya"" Stone, ""Hai角"" Stone, and ""Nantian Yizhu"" (Southern Heaven Pillar). The Tianya Stone is 10.8 meters high and serves as the landmark and symbol of the scenic area, with a history of hundreds of millions of years. It officially became a national 5A-level tourist attraction in February 2024.",Free entry for 5A-level scenic areas; Signature attraction of Sanya; Romantic love destination; Cliffside stone carving group,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/天涯海角.webp,
Wuzhizhou Island,Hainan Province,Sanya City,Haitang District,South China,"Tenghai Community Houhai Village, Wuzhizhou Island Tourism Zone, Haitang District, Sanya City",109.868336,19.648604,5A-level scenic area,Natural scenery,,5A,Bus: Bus Route 15 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,"08:00-18:00 (Island entry time: 8:00-17:00, Island exit time: 8:30-19:00)","Ticket + round-trip ferry approx. 136-144/person (varies by off-peak/peak season), Hainan island residents enjoy 88",Paid,Baidu Maps App scenic spot ticket purchase | Meituan App search scenic spot name to reserve | Fliggy App search scenic spot name to buy tickets,4-6 hours,Suitable all year round,All ages,"Located within Sanya Haitang Bay, covering 1.48 square kilometers, it is one of China's best diving bases, acclaimed as China's ""Maldives"". The island boasts stunning natural scenery, with surrounding waters crystal clear and transparent, seawater visibility ranging from 6 to 27 meters, rich marine ecological resources, and a comprehensive water sports product system.","China's Maldives, top diving destination, filming location of ""Personal Tailor"", extremely high seawater visibility",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/蜈支洲岛.webp,
Xisha Islands,Hainan Province,Sansha City,Xisha District,South China,"Sansha City Xisha Islands (main tourist sites: Quanfu Island, Yin Yu Island, Duck Public Island)",110.421735,19.796616,Special tourism zone (open only to Chinese citizens),Natural scenery | Religious site,,Other,Bus: Route 30 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate the scenic area name,"Year-round (cruise ships depart regularly, advance reservation required)",No separate ticket; 4-day 3-night cruise costs approx. 4880-8000/person starting from,Paid,Douyin APP: Search scenic name for group purchase | Ctrip APP: Search scenic name to buy tickets,4 days 3 nights,Suitable all year round,All ages,"The Xisha Islands are one of the four major island groups in China's South China Sea, comprising the Xuande Archipelago, Yongle Archipelago, etc., with a total of 22 islands and 7 sand cays. The main tourist sites are Quanfu Island, Yin Yu Island, and Duck Public Island, among which Yin Yu Island and Duck Public Island are inhabited. Quanfu Island features pink sand beaches; Yin Yu Island offers the spectacular ""Seven-Colored Sea"" wonder, where seawater is so clear that coral reefs at 40 meters depth are visible.","Open only to Chinese citizens, China's Maldives, Seven-Colored Sea wonder, Glass Sea, Pink Sand Beach",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/西沙群岛.webp,
Yongxing Island,Hainan Province,Sansha City,Xisha District,South China,"Yongxing Island, Xisha Islands, Xuande Archipelago, Sansha City",110.437284,19.86658,Special Management Area,Natural Scenery|Museum,,Other,Bus: Bus Route 44 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Ordinary tourists cannot freely land on the island; it is not open to tourism,No external ticket sales,Paid,Fliggy APP search for scenic spot name ticket purchase | Ctrip APP search for scenic spot name ticket purchase | Baidu Maps APP scenic spot ticket purchase,-,Suitable all year round,All ages,"Yongxing Island is the largest island in the Xisha Islands and the seat of the Sansha Municipal People's Government. The island features cultural attractions such as the Xisha Ocean Museum, Garrison Forces Military History Museum, Xisha General Forest, Reclamation of Xisha Monument, South China Sea Islands Project Monument, Sansha City Place Name Monument, and WWII Japanese pillboxes. Currently, ordinary tourists cannot freely land on the island and must apply through special channels.","Seat of China's southernmost prefecture-level city, Sansha Municipal Government, Xisha Ocean Museum",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/永兴岛.webp,
Dongpo Academy,Hainan Province,Danzhou City,Zhonghe Town,South China,"No. 30 Gibe Road / Central Avenue, Zhonghe Town, Danzhou City",110.18482,19.938116,4A-level scenic area|National Key Cultural Relics Protection Unit,Natural scenery|Garden park,,4A,Bus: Route 20 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-17:30 (some areas 08:30-17:30),"21-25/person (off-peak/peak season fluctuates ±20%), joint ticket 99 for two (includes Dongpo Academy, Fengluan An, Danyang Lou)",Paid,Group purchase via Douyin APP search for scenic area name | Ticket purchase via Baidu Maps APP,2-3 hours,Suitable all year round,All ages,"The place where the great Northern Song literary figure Su Dongpo taught and made friends during his three-year stay in Danzhou, originally built in 1098. The academy follows a front-academy, rear-garden layout, with main buildings including Zaijiutang, Dongpo Shrine, Zaijiuting, and Dongpo Well. It houses over 400 works of calligraphy and painting by renowned artists and 13 ancient steles, is one of Hainan's Top Ten Scenic Spots, and was listed as a National Key Cultural Relic Protection Unit in the fourth batch in 1996.","Thousand-year cultural heritage, National Key Cultural Relic Protection Unit, Su Dongpo's Danzhou遗迹, Hainan's Top Ten Scenic Spots",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/东坡书院.webp,
Haihua Island,Hainan Province,Danzhou City,P浦 Town,South China,"No. 100 Binhai Avenue, P浦 Town, Danzhou City, Hainan Province",109.934894,19.73519,Tourism Resort (includes multiple theme parks),Natural scenery|Historical culture|Museum,,Other,Bus: Bus Route 35 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,"Free to open, with paid attractions inside (Ocean Park, Water Kingdom, etc. charged separately)",Paid,Search scenic area name on Fliggy APP to purchase tickets | Search scenic area name on Tongcheng Travel APP for online ticket purchase,1-2 days,Suitable all year round,All ages,"Located in the Binhai New Area of Danzhou City, covering a total area of 7.8 square kilometers, composed of three independent offshore islands, resembling a flower shape from above. Built over twelve years by Evergrande Group with an investment of hundreds of billions, it includes Haihua Island Children's World, Ocean Park, Water Kingdom, Museum Cluster, International Conference Center, and more, making it a globally sought-after cultural tourism destination.","Global largest flower-shaped artificial island, comprehensive resort, marine park, water kingdom, museum cluster",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/海花岛.webp,
Volcanic Cluster Geopark,Hainan Province,Haikou City,Xiuying District,South China,Haikou City Xiuying District Shishan Town Fengjing Road Volcano Crater Park,110.0843,19.735082,5A-level (World Geopark),Natural scenery|Religious site|Museum,Hiking,5A,Bus: Bus Route 36 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,08:00-18:00 (entry stops at 17:30),"Adult: 54/person, discounted ticket: 27-35/person; children under 1.2m and seniors over 70 free",Paid,Reserve via Meituan APP by searching scenic area name | Online booking via scenic area official website,2-3 hours,Suitable all year round,All ages,"China's only tropical island volcanic cluster geopark, with over 40 volcanoes, located at the highest peak in northern Hainan. The volcanic crater summit offers panoramic views of Haikou City and the Qiongzhou Strait, serving as a natural geological museum. The scenic area features lava tunnels, volcanic temples, dense vegetation, ideal for hiking and exploration.","World Geopark, China's only tropical city volcanic cluster, accessible volcanic crater base exploration, natural oxygen bar",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/火山群地质公园.webp,
Qilou Old Street,Hainan Province,Haikou City,Longhua District,South China,"No. 5-1 Changdi Road, Longhua District, Haikou City (near Zhongshan Road)",110.483498,19.997044,4A-level scenic area | Historical and Cultural Block,Natural Scenery|Historical Culture|Religious Sites,Photography | Food,4A,Bus: Route 47 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,Free (some exhibition halls charge 10-20),Paid,Official WeChat Public Account Reservation | Official Website Online Booking | Fliggy App Search Scenic Area Name to Purchase Tickets,2-3 hours,Suitable all year round,All ages,"Century-old Nanyang-style architectural complex blending Chinese and Western cultures, with 600 qilou buildings, the most distinctive streetscape in Haikou. The old street features Hainan specialties (such as clearing cool soup and spicy soup rice), handicraft shops, and cafes, recording Hainan's historical changes, ideal for photo check-ins.","Century-old Nanyang architecture, free attraction, Hainan specialty food hub, photo check-in hotspot",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/骑楼老街.webp,
